,purpose,amount
3009,filing day fee,50.0
4207,local charity/advertising,50.0
5379,po box renewal (6 months),50.0
3013,filing fee for running for assessor,50.0
1534,candidate portrait picture,50.0
3015,filing fee to file for reelection,50.0
7052,sponser truck pull- september,50.0
5144,parade fee,50.0
1342,campaign reception food and drink,50.0
3023,filingfee,50.0
3575,graphic adv,50.0
3579,graphic deposit,50.0
3011,filing fee - 2020,50.0
8128,windows wash at hq,50.0
947,business licence,50.0
527,agency fees,50.0
8143,wordpress theme,49.99
8021,webcam for webex hearings at office,49.99
4394,majic jack phone service,49.99
3045,financial services,49.99
2552,drum unit replacement ,49.98
5079,paid for stickers,49.84
1549,candy to hand out at pierce city parade,49.47
8126,window posters,49.2
5249,pens and paper,49.09
5194,payment integration fee,49.08000000000001
6691,schnuck's market-election day refreshments reimb,49.06
5572,postcard stamps,49.0
2156,deliver large signs,48.92
5998,purchase of canned goods,48.9
6294,reimburse for marthasville lumber,48.81
6296,reimburse for motomart for fuel,48.75
7349,t-post puller,48.75
6299,reimburse for olive garden for staff lunch,48.54
5785,printing for good govt forum,48.36
4703,mileage reimbursement for regional clerk's mtg    ,48.3
5136,parade cand,48.11
4461,masks for trump,48.0
3481,gifts for campaign supporters/coffee mugs,48.0
6695,scholarship dance tickets,48.0
7557,to pay balance of account,47.92
2448,donation fee,47.57000000000001
3978,ks - 95 radio ads,47.08
6146,reach  progressive canvassing   mobile application,47.0
7387,table,46.95
7733,usps - postage,46.75
5332,picnic event expenses over in-kind contribution ,46.48
2506,donuts for food drive volunteers,46.11
7317,supporter meeting,46.06
6135,rail travel ,46.0
870,booth supplies,45.92
176,6 posts for 4x8 signs,45.59
135,45.58,45.58
4870,notice publication,45.5
1564,capital office staff and guest meal,45.41
2170,deposit books for account,45.32
6216,reimb for dominos for door knockers,45.23
1547,candy to hand out,45.22
327,additional shirts for abmd,45.0
4421,market sponsor for 2 weeks,45.0
2659,email campaign,45.0
4169,lit drop space reserve,45.0
863,booth for 4th of july,45.0
1087,campaign conference ,44.97
3493,gmass-software exp reimb,44.75
5203,paypal fees,44.63
5076,packing supplies,44.52
5148,parade refreshments,44.36
6636,riemann donation processing fee,44.3
3445,gas for putting up yard signs,44.0
385,advertisement for 2nd dist. commissioner position,43.73
1926,constituent courtesy,43.64
4444,marketing-signage,43.6
4899,odessa football team drinks,43.57
3901,items for event tables,43.56
7345,t-post /signs,43.38
5356,plaque,43.36
7579,tpost puller,43.33
3814,ink,43.32
1542,candy for agency parade,43.21
1367,campaign sign post puller,42.99
6223,reimb for rib crib bbq meal for ,42.91
7589,transfer fee,42.78000000000001
6153,reception table cloths,42.71
561,annual banquet dinner,42.5
7162,staples-mckinley day envelopes,42.2
1075,campaign cell phone ,42.0
2495,donation/ funds disbursement  ,41.99
5138,parade candy and labels,41.42
6233,reimb meal (starbucks),41.35
1541,candy for 4th of july parade,41.33
3332,fundraiser printing,41.18
5564,postcard invite,40.85
6423,reimbursement for panera for staff meal,40.45
4959,office supplies/printing,40.41
4065,legislative event,40.24
7628,travel reimbursment,40.17
2936,fall chamber dinner,40.0
7553,tip for meal for caucus,40.0
4541,mec late fee,40.0
6378,reimbursement - squarespace,40.0
6548,rental of marc,40.0
1912,conference calling software,40.0
7469,termination of acct,40.0
4128,lincoln day dinner tickets,40.0
1910,conference call,40.0
864,booth for car show,40.0
2486,donation to school,40.0
710,bank fees ,39.95
1640,cc processing,39.95
6843,sign post driver,39.84
5682,printed material ,39.8
7584,trade winds - reimburse for flags,39.76
5701,printer in,39.58
1210,campaign lunch,39.02
4993,online fund raiser,39.01
5245,pencils to hand out,39.0
5119,paper and copies,38.78
6023,purchase return address stamp,38.69
3276,fuel for trip to lincoln days event,38.6
5357,plaques,38.56
5793,printing labels,38.29
3439,gas campaign cars ,38.2
5977,purchase award plaque,37.92
794,beverages and food volunteers,37.5
684,bags and tortillas,37.46
3211,food for workers,37.23
5312,photocopies,37.2
6342,reimburse- office depot maps,37.01
165,50% split from 50/50 raffle at picnic,37.0
2203,design phamplet,37.0
3252,framed bill,36.98
4944,office supplies - cards,36.47
1292,campaign office refreshments,36.35
6892,signs & printed materials,36.17
6420,reimbursement for newspaper ad.,36.0
6277,reimburse for circle k for fuel,36.0
707,bank expense,36.0
2664,email hosting charge,36.0
4748,montly fee,35.99
5110,panera bread-election day refreshments reimb,35.87
2782,event material,35.47
3114,folders and tickets for few seminar,35.33
6416,reimbursement for meals to oppose amendment 2,35.04
4490,meal ,35.0
6631,returned item,35.0
1565,capital subscription,35.0
4406,map print district 100,35.0
5145,parade float,35.0
2394,district maps,35.0
2637,election watch party rent,35.0
7932,walk list,35.0
7933,walk lists,35.0
1911,conference call software,34.99
3176,food for lit drop workers,34.76
6338,reimburse- mo secretary of state fee to create llc,34.5
7137,stakes & cable ties,34.49
6777,sewer for hq,34.44
6687,sams club - event supplies,34.34
6156,records request,34.3
756,banquet fee,34.0
3832,insure audio equipment for webex hearings,33.99
6457,reimbursement office depot,33.53
2752,event coordination meeting,33.35
6972,small envelopes,33.34
726,"banking fee, overdraft fee",33.0
6300,reimburse for papa johns for meal,32.98
5588,poster printing,32.9
8165,yard sign setup,32.56
2088,cups & rolls for fundraiser,32.55
1711,checkbooks,32.45
886,breakfast for caucus,32.45
6333,reimburse supplies,32.25
5143,parade entry fee,32.24
8011,web site services,32.0
6215,reimb for caseys for fuel,31.92
5083,paint & supplies,31.71
2095,dap travel & wincang-reimburse for flags,31.38
1710,checkbook cover,31.29
875,box of paper ,31.29
1189,campaign letter,31.25
1953,consulting for campaign literature mailing,31.16
6616,return address labels,31.08
6339,reimburse- national women's pol caucus training,31.0
6252,"reimburse - campaign supply--wal mart marshall, mo",30.74
3540,golf tournament supplies,30.61
1714,checking/ check printing,30.36
3230,food/ drink for volunteers,30.21
5376,po box for terry ,30.0
913,building inspection,30.0
932,bus cards,30.0
4162,lists,30.0
7572,town hall at park,30.0
2407,domail service,30.0
4273,magnetic sign,30.0
7220,stlco election board - absentees - reimbursement,30.0
195,absentee list,30.0
2587,education fund,30.0
5030,our town festival,30.0
2732,ervice charge,30.0
7445,teleconference,29.98
7808,video conferencing subscription,29.98
6337,reimburse- michaels laminating map,29.49
6281,reimburse for drury petroleum for fuel,29.19
7287,supplies for pridefest,29.1
3923,july ad,29.0
3937,june ad,29.0
5306,photo program,29.0
3830,insurance on earbuds,29.0
6461,reimbursement to ink amazon purchase  ,28.99
7403,tablecloths for fundraiser,28.69
7351,t-post/zip ties,28.66
7766,vegan meal,28.59
5973,pumpkin daze supplies,28.56
1803,coffee,28.52
6343,reimburse- office depot rubber stamp,28.5
3282,fun pops for far,28.23
7534,ticket for march to victory event,28.16
7204,sterno kits - 2019 holiday party (legrand's),27.99
1891,computer case,27.99
1728,chilie cups,27.98
2384,displays,27.3
7532,thrutext - text services - reimbursement,27.21
969,cable ties,27.109999999999996
5089,painting supply,27.1
937,business card decals,27.08
5022,organizational meeting,27.02
365,adveritzing,27.0
7323,swatosh donation processing fee,27.0
4313,mailchimp acct.,26.99
3491,gloves for lit drop and election,26.95
2727,envelopes/stamps,26.89
3273,fuel ,26.75
2555,duck brand tape-reimburse for sign materials,26.69
7622,travel meal for filing,26.57
4407,map printing,26.16
3239,food/drink for volunteer group,26.11
7499,thank campaign supporters,26.0
4462,masks shipping,25.9
7205,sticker,25.85
893,breakfast with fellow rep. ,25.84
6314,reimburse for watson bp for fuel,25.72
1721,chili,25.61
4767,"name badges, sharpies for events",25.54
6193,registration fee,25.5
6454,reimbursement of overnight usps package,25.5
5122,paper and toner,25.37
7500,thank campaign volunteers,25.32
7298,supplies fund raiser,25.16
5982,purchase checks,25.15
7060,sponsor farmer's market,25.0
1485,campaign website monthly fee,25.0
3488,give them the bird donation,25.0
7234,stover super saturday donation,25.0
4375,mailing list,25.0
6332,reimburse sedalia holiday parade entry fee,25.0
6450,reimbursement of fees,25.0
6188,registered voters / absentee voters on cd,25.0
2747,event booth space,25.0
4609,meeting room rent,25.0
895,breckenridge scholar payment,25.0
3699,high game-male winner,25.0
3806,information,25.0
3698,high game-female winner,25.0
862,booth fee for t of p ,25.0
4610,meeting room rental,25.0
7924,voters roll,25.0
7903,voter history,25.0
6240,reimb registration kirkwood chamber,25.0
7925,voters’ disc,25.0
7210,stickers for coreplast signs,24.92
7729,ups store - reimburse for signs,24.85
6220,reimb for kum & go for fuel,24.83
971,cable ties /signs,24.43
6139,rally signs,24.4
8229,zip ties,24.11
1543,candy for jefferson county parades,24.04
6790,shirt monogram,24.0
3063,flag for trump,23.99
3275,fuel for filing trip,23.86
2573,e-mail update,23.8
7871,volunteering to feed the homeless,23.79
1705,check purchase,23.65
1049,campaign bbq supplies,23.490000000000002
3274,fuel across hwy 2..ne mo/st louis event,23.2
8114,white donation processing fee,23.16
636,auction supplies,23.0
159,5 t-posts for 4x8 signs,22.9
2507,donuts for march 10th election,22.87
7590,transfer fees,22.830000000000002
4445,marketing-signs,22.82
6274,reimburse for break time for fuel,22.72
5127,paper plates and flatware for senior brunch,22.71
6614,returened deposit fee,22.5
5885,processing fee - july 2019,22.5
6222,reimb for petromart for fuel,22.5
6286,reimburse for hucks for fuel,22.36
7165,staples-mckinley day post cards & printing,22.35
6963,silent auction item,22.33
1514,campbell donation processing fee,22.3
2093,dameron donation processing fee,22.3
1703,check orders,22.26
8085,website registration,22.16
6221,reimb for party city for supplies,22.12
7560,toner cartridge ,22.09
7150,stamps for mailing thank you cards,22.0
5132,paper supplies,21.9
5840,printing voter lists.,21.84
5111,pans and oil,21.84
3658,hat,21.8
3776,hqs water/soft drink supplies,21.76
1366,campaign sign post driver,21.73
6625,return of funds to contributor,21.72
7293,supplies for trip to file for office,21.61
4981,online collection fees,21.6
692,"balloons, etc.",21.54
3442,gas for filing trip,21.48
7870,volunteer supplies (snacks/water),21.25
4730,mo. sec. of state filings,21.25
7751,utillities,20.54
4151,lincoln days room fees,20.2
1146,campaign float,20.0
329,additional website ,20.0
2485,donation to msu democrats,20.0
6157,records request fee,20.0
617,art/design,20.0
4405,map,20.0
1644,cd's,20.0
2405,dog park contribution,20.0
6552,rental on two meeting room,20.0
5077,pagedale ansi,20.0
188,8-hour notice late filing fee,20.0
2652,emai l program,20.0
6218,reimb for jefferson co assessors office for maps,20.0
553,analysis service charge,20.0
2709,entrepereneurship week,20.0
8010,web site management,20.0
2053,"coups, candy for t of p",19.96
6165,refreshments for meeting,19.9
3551,google suite,19.6
888,breakfast for constitutents,19.57
6438,reimbursement for t-shirts,19.56
1700,check,19.45
840,blank checks for account,19.3
7166,staples-mckinley day program printing,19.08
5257,personal property taxes,19.05
1716,checks for campaign account,19.0
4504,meal with consitutant,18.78
3102,flyers for meet and greet,18.38
7955,water,18.35
3441,gas for deliveries,18.32
2725,envelopes-member education mailer,18.19
4441,marketing software,18.0
3428,gacc july lunch reservation,18.0
7037,software tools,17.8
1642,ccard processing fee,17.78
5451,poll worker supplies,17.56
8134,wire transer fee,17.5
6298,reimburse for office max for supplies,17.49
333,address stamp,17.3
6816,shpping flyers,17.25
3231,food/bev for volunteers,17.19
3277,fuel to event,17.17
6985,snacks for workers,16.74
1755,cider for t of p,16.72
4393,majic jack phone line,16.67
1103,campaign deluxe checks,16.5
7203,steel post,16.23
1771,clipboards,16.22
7164,staples-mckinley day mailing labels,16.22
722,banking charge,16.0
2900,facility fees charged by hotel,16.0
719,bank service fees charged,16.0
711,bank fees?,16.0
2618,election information,15.93
568,annual corporation registration,15.5
7333,t shirt,15.19
5389,pole ties,15.18
1722,chili ,15.01
2553,drycleaning,15.0
7179,state of the city,15.0
8105,welcome banquet,15.0
1675,charcoal,15.0
7927,voting information,15.0
7809,video confrencing,14.99
1088,campaign conference calls ,14.99
1468,campaign video conference,14.99
13,(2) solar spotlights,14.84
7328,t post ,14.71
6305,reimburse for shell for fuel,14.66
202,account analysis fee,14.579999999999998
5594,postmaster-mckinley day postcard stamps,14.35
8230,zipties,14.34
4770,name tags,14.28
4917,office keys,14.22
6341,reimburse- office depot evelopes,14.19
4466,material for sign at pridefest,14.1
8110,werts donation processing fee,14.02
7937,walker donation processing fee,14.02
1804,coffee and donuts,13.38
716,bank service fee for wire transfer,13.0
7974,web domain,12.86
4061,legal services/delivery expense,12.81
3645,hand sanitizer and pens,12.8
5891,processing fees for online donations,12.5
8062,website domain name,12.17
2127,database services for july,12.0
3957,key replacement,12.0
1669,chamber event,12.0
4716,miscellanous items for christmas party,11.99
4499,meal on way to memphis speaking,11.99
1116,campaign email ,11.98
8120,wilson donation processing fee,11.870000000000001
7527,thomas donation processing fee,11.74
3424,funk donation processing fee,11.74
3979,kutz donation processing fee,11.74
2855,faber donation processing fee,11.74
5151,paredes donation processing fee,11.74
2972,feldhaus donation processing fee,11.74
5128,paper products for fundraiser,11.38
884,breakfast en route to st. louis,11.38
1723,chili cookoff supplies,11.34
4110,liddle donation processing fee,11.3
5043,owen donation processing fee,11.3
776,beavers donation processing fee,11.3
1758,citation - 1 day late ,11.25
